id,text
S001,"I am worried about the exam results, but I studied hard so I have a chance."
S002,"They haven't replied to my email yet, which means they are laughing at my proposal."
S003,"I feel awkward at parties, so I must be a completely unlikable person."
S004,"I didn't get the highest grade in the class. I am a total failure."
S005,"Ideally, I would have finished the project earlier, but finishing on time is also okay."
S006,"I feel guilty about taking a day off, therefore I must be lazy."
S007,"The presentation went well, although I stuttered once."
S008,"If I don't please everyone, then I am not a good person."
S009,"My friend seemed quiet today. I probably said something to offend her."
S010,"I am disappointed that I didn't win, but I enjoyed the competition."